Sl No,Level,Country,Number of Vote,Date of Votes,Title in English,Title in German,Title in French,Title in Italien,Number of Yes-Votes in National Council,Number of No-Votes in National Council,Number of Abstentions in National Council,Number of Yes-Votes in States Council,Number of No-Votes in States Council,Number of Abstentions in States Council,Recommendation of Government,Total Electorate,Citizen Abroad,Number Of Voters,Empty Ballot Sheets,Invalid Ballot Sheets,Yes Votes,No Votes,Number of States accepting,Number of States rejecting,Linked Vote Status,Linked Vote,Without Response,Tie-Break Question: Number of People Supporting,Tie-Break Question: Number of State Supporting,Tie-Break Question: Without Response,Institutions,Number of Signatures,Number of Cantons attained (Referendum),Committee name,Comments,Theme codes,Turnout,Valid Ballot Sheets,Yes [%],No [%],Result,Def. Result
171,Country,Switzerland,442,1998-09-27,Federal law on engine size-related heavy  goods vehicle tax,Bundesgesetz über eine leistungsabhängige Schwerverkehrsabgabe (Schwerverkehrsabgabegesetz  SVAG),Loi fédérale concernant une redevance sur le trafic des poids lourds liée aux prestations (Loi relative à une redevance sur le trafic des poids lourds  LRPL),Legge federale concernente una tassa sul traffico pesante commisurata alle prestazioni (Legge sul traffico pesante  LTTP),120,46,18,22,14,,None,4637498,66843,2402260,24674,7481,1355735,1014370,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),189707,,,,"Heavy traffic | Indirect taxation | Environmental policy",51.8,2370105,57.2,42.8,yes,
172,Country,Switzerland,443,1998-09-27,Citizen's initiative "For inexpensive  foodstuffs and ecological farming",Volksinitiative 'für preisgünstige Nahrungsmittel und ökologische Bauernhöfe',Initiative populaire 'pour des produits alimentaires bon marché et des exploitations agricoles écologiques',Iniziativa popolare 'per prodotti alimentari a buon mercato e aziende rurali di coltura ecologica',50,102,19,0,37,,None,4637498,66843,2391658,54514,7680,535873,1793591,,23,none,,,0,,0,Initiative (Formulated Draft),111306,,Gnueg Heu Dune-InitiativeGnueg Heu Dune-Initiative,,"Agricultural policy | Environmental policy | none",51.57,2329464,23,77,no,
173,Country,Switzerland,444,1998-09-27,Citizen's initiative "For the 10th revision of old age insurance without raising the retirement age",Volksinitiative 'für die 10. AHV-Revision ohne Erhöhung des Rentenalters',Initiative populaire 'pour la 10e révision de l'AVS sans relèvement de l'âge de la retraite',Iniziativa popolare 'per la 10e revisione dell'AVS senza aumento dell'età di pensionamento',69,111,1,5,36,,None,4637498,66843,2394024,38203,7716,973966,1374139,5,18,none,,,0,,0,Initiative (Formulated Draft),105947,,Schweizerischer Gewerkschaftsbund SGBUnion syndicale suisse USS,,"Pension insurance | Status of women | none",51.62,2348105,41.48,58.52,no,
174,Country,Switzerland,439,1998-06-07,Federal decree on budget balancing measures ,Bundesbeschluss über Massnahmen zum Haushaltausgleich,Arrêté fédéral instituant des mesures visant à équilibrer le budget,Decreto federale che istituisce provvedimenti intesi a equilibrare il bilancio,110,63,10,37,6,,None,4629396,66462,1894433,76513,7105,1280329,530486,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Public expenditure | none | none",40.92,1810815,70.7,29.3,yes,
175,Country,Switzerland,440,1998-06-07,Citizen's initiative "To protect life and  the environment from genetic manipulation  (gene protection initiative)",Volksinitiative 'zum Schutz von Leben und Umwelt vor Genmanipulation (Gen-Schutz-Initiative)',Initiative populaire 'pour la protection de la vie et de l'environnement contre les manipulations génétiques (Initiative pour la protection génétique)',Iniziativa popolare 'per la protezione della vita e dell'ambiente dalla manipolazione genetica (Iniziativa protezione genetica)',44,107,20,0,40,,None,4629396,66462,1913034,29169,6599,624964,1252302,,23,none,,,0,,0,Initiative (Formulated Draft),111063,,Schweizerische Arbeitsgruppe Gentechnologie SAGSchweizerische Arbeitsgruppe Gentechnologie SAG,,"Genetic engineering | Environmental policy | Medical research and technology",41.32,1877266,33.29,66.71,no,
176,Country,Switzerland,441,1998-06-07,Citizen's initiative "Switzerland without  police snooping",Volksinitiative 'S.o.S. - Schweiz ohne Schnüffelpolizei',Initiative populaire 'S.o.S. - pour une Suisse sans police fouineuse',Iniziativa popolare 'S.o.S. - per una Svizzera senza polizia ficcanaso',60,124,1,4,32,,None,4629396,66462,1897624,56644,6836,451089,1383055,,23,none,,,0,,0,Initiative (Formulated Draft),105664,,S. o. S. - Schweiz ohne SchnüffelpolizeiS.o.S. - pour une Suisse sans police fouineuse,,"State security | Fundamental rights | Police",40.99,1834144,24.59,75.41,no,
177,Country,Switzerland,437,1997-09-28,Federal decree of 13 December 1996  on financing unemployment insurance,Bundesbeschluss vom 13. Dezember 1996 über die Finanzierung der Arbeitslosenversicherung,Arrêté fédéral du 13 décembre 1996 sur le financement de l'assurance-chômage,Decreto federale del 13 dicembre 1996 concernente il finanziamento dell'assicurazione contro la disoccupazione,105,65,2,36,5,,None,4618943,65738,1876622,37703,6101,901361,931457,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees declared urgent),53872,,,,"Unemployment insurance | Budget cuts and remediation measures | none",40.63,1832818,49.18,50.82,no,
178,Country,Switzerland,438,1997-09-28,Citizen's initiative "Youth without drugs",Volksinitiative 'Jugend ohne Drogen',Initiative populaire 'Jeunesse sans drogue',Iniziativa popolare  "Gioventù senza droghe",43,100,28,,,,None,4618943,65738,1886054,20248,6033,545713,1314060,,23,none,,,0,,0,Initiative (Formulated Draft),140949,,Ad-hoc-KomiteeComité ad-hoc,,"Addictive substances | Children and young people | none",40.83,1859773,29.34,70.66,no,
179,Country,Switzerland,434,1997-06-08,Citizen's initiative "Negotiations on  joining the EU: let the people decide!",Eidgenössische Volksinitiative 'EU-Beitrittsverhandlungen vors Volk!',Initiative populaire fédérale 'Négociations d'adhésion à l'UE: que le peuple décide!',,10,174,3,0,37,,None,4614860,65416,1635564,24417,4987,416720,1189440,,23,none,,,,,,Initiative (Formulated Draft),101337,,Schweizer Demokraten und Lega dei TicinesiDémocrates suisses et Lega dei Ticinesi,,"EU | Referendum | none",35.44,1606160,25.95,74.05,no,
180,Country,Switzerland,435,1997-06-08,Citizen's initiative "For a prohibition on the export of materials of war",Eidgenössische Volksinitiative 'für ein Verbot der Kriegsmaterialausfuhr',Initiative populaire fédérale 'pour l'interdiction d'exporter du matériel de guerre',Iniziativa popolare 'per un divieto di esportazione di materiale bellico',60,111,6,3,32,,None,4614860,65416,1636833,26845,4955,361164,1243869,,23,none,,,0,,0,Initiative (Formulated Draft),108762,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,"Foreign trade policy | Arms | none",35.47,1605033,22.5,77.5,no,
181,Country,Switzerland,436,1997-06-08,Federal decree on cessation of the federal monopoly on the manufacture and sale of gunpowder,Bundesbeschluss über die Aufhebung des Pulverregals,Arrêté fédéral concernant la suppression de la régale des poudres,Decreto federale concernente la soppressione della regalia delle polveri,182,17,0,43,0,,None,4614860,65416,1626896,77520,6165,1268162,275049,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Arms | Competition policy | none",35.25,1543211,82.18,17.82,yes,
182,Country,Switzerland,432,1996-12-01,Citizen's initiative "Against illegal immigration",Bundesbeschluss über die Volksinitiative 'gegen die illegale Einwanderung',Arrêté fédéral concernant l'initiative populaire 'contre l'immigration clandestine',Decreto federale concernente l'iniziativa popolare 'contro l'immigrazione clandestina',36,139,1,3,35,,None,4612166,65827,2156106,28657,6281,982867,1138301,11,12,none,,,0,,0,Initiative (Formulated Draft),105596,,Schweizerische Volkspartei SVPUnion Démocratique du Centre UDC,,"Refugees | none | none",46.75,2121168,46.34,53.66,no,
183,Country,Switzerland,433,1996-12-01,Federal law on labour in industry  trade  and commerce  amendment of 22 March 1996,Bundesgesetz über die Arbeit in Industrie  Gewerbe und Handel (Arbeitsgesetz)  Aenderung vom 22. März 1996,Loi fédérale sur le travail dans l'industrie  l'artisanat et le commerce (Loi sur le travail)  Modification du 22 mars 1996,Legge federale sul lavoro nell'industria  nell'artigianato e nel commercio (Legge sul lavoro)  Modificazione del 22 marzo 1996,89,80,9,27,6,,None,4612166,65827,2154933,32146,5952,697874,1418961,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),165467,,,,"Employment conditions | Status of women | none",46.72,2116835,32.97,67.03,no,
184,Country,Switzerland,430,1996-06-09,Counter-proposal of National Assembly  of 21 December 1995 to the citizen's  initiative "Farmers and consumers - for  an agriculture in harmony with nature",Gegenentwurf der Bundesversammlung vom 21. Dezember 1995 zur Volksinitiative 'Bauern und Konsumenten - für eine naturnahe Landwirtschaft',Contre-projet de l'Assemblée fédérale du 21 décembre 1995 relatif à l'initiative populaire 'Paysans et consommateurs - pour une agriculture en accord avec la nature',Controprogetto dell'Assemblea federale del 21 dicembre 1995 relativo all'iniziativa popolare 'Contadini e consumatori - per un'agricoltura in armonia con la natura',163,14,4,41,0,,None,4602577,65534,1445966,41150,4408,1086534,313874,23,,none,,,0,,0,Constitutional Referendum (Counter-draft),110928,,World Wildlife Found WWF SchweizWorld Wildlife Found WWF Suisse,,"Agricultural policy | Environmental policy | none",31.42,1400408,77.59,22.41,yes,
185,Country,Switzerland,431,1996-06-09,Law on organisation of government and  administration of 6 October 1995,Regierungs- und Verwaltungsorganisationsgesetz (RVOG) vom 6. Oktober 1995,Loi du 6 octobre 1995 sur l'organisation du gouvernement et de l'administration (LOGA),Legge federale del 6 ottobre 1995 sull'organizzazione del Governo e dell'Amministrazione,91,62,23,40,2,,None,4602577,65534,1442422,55124,4678,544630,837990,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),70698,,,,"Government, administration | none | none",31.34,1382620,39.39,60.61,no,
186,Country,Switzerland,425,1996-03-10,Federal decree on revision of the  language article in the Federal  Constitution (Art. 116),Bundesbeschluss über die Revision des Sprachenartikels in der Bundesverfassung (Art. 116 BV),Arrêté fédéral concernant la révision de l'article constitutionnel sur les langues (art. 116 cst.),Decreto federale concernente la revisione dell'articolo constituzionale sulle lingue (art. 116 Cost.),152,19,6,40,0,,None,4599317,63313,1427282,41583,4494,1052052,329153,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Language policy | none | none",31.03,1381205,76.17,23.83,yes,
187,Country,Switzerland,426,1996-03-10,Federal decree on the transfer of the  Bernese community of Vellerat to canton Jura,Bundesbeschluss über den Uebertritt der bernischen Gemeinde Vellerat zum Kanton Jura,Arrêté fédéral sur le transfert de la commune bernoise de Vellerat au canton du Jura,Decreto federale sul passaggio del Commune bernese di Vellerat al Canton Giura,160,5,8,42,0,,None,4599317,63313,1425539,55758,4948,1250728,114105,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Territoral questions | none | none",30.98,1364833,91.64,8.36,yes,
188,Country,Switzerland,427,1996-03-10,Federal decree on the withdrawal of  cantonal competence in regard to the personal equipment of military  personnel,Bundesbeschluss über die Aufhebung der kantonalen Zuständigkeit im Bereich der persönlichen Ausrüstung der Armeeangehörigen,Arrêté fédéral supprimant la compétence cantonale en matière d'acquisition de l'équipement personnel des militaires,Decreto federale concernente la soppressione della competenza cantonale in materia di equipaggiamento personale dei militari,148,18,7,25,12,,None,4599317,63313,1426568,45376,4492,601613,775087,3,20,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Arms | Budget cuts and remediation measures | Division of tasks",31.02,1376700,43.7,56.3,no,
189,Country,Switzerland,428,1996-03-10,Federal decree on abolition of the  obligation to purchase distilling  equipment and take over spirits,Bundesbeschluss über die Aufhebung der Pflicht zum Ankauf von Brennapparaten und zur Uebernahme von Branntwein,Arrêté fédéral concernant l'abrogation de l'obligation de rachat des appareils à distiller et de prise en charge de l'eau-de-vie,Decreto federale concernente la soppressione dell'obbligo d'acquisto di apparecchi di distillazione e di acquavite,164,7,1,42,0,,None,4599317,63313,1422265,67318,4949,1090783,259215,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Crop production | Budget cuts and remediation measures | none",30.92,1349998,80.8,19.2,yes,
190,Country,Switzerland,429,1996-03-10,Federal decree on cessation of federal  funding for train station car parks,Bundesbeschluss über die Aufhebung der Bundesbeiträge an Bahnhofparkplatzanlagen,Arrêté fédéral concernant la suppression des contributions fédérales aux places de stationnement près des gares du 24 mars 1995,Decreto federale concernente la soppressione dei contributi federali per la costruzione di posteggi presso le stazioni ferroviarie,111,53,8,38,1,,None,4599317,63313,1425049,46519,4519,741219,632792,14,9,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Road transport | Budget cuts and remediation measures | none",30.97,1374011,53.95,46.05,yes,
191,Country,Switzerland,422,1995-06-25,Federal law on old age-  widows- and  orphans insurance  amendment of 7  October 1994,Bundesgesetz über die Alters- und Hinterlassenenversicherung  Aenderung vom 7. Oktober 1994,Loi fédérale sur l'assurance-vieillesse et survivants (LAVS) (10e révision de l'AVS). Modification du 7 octobre 1994,Legge federale sull'assicurazione per la vecchiaia e per i superstiti (10a revisione dell'AVS),138,27,17,37,2,,None,4591795,59868,1856163,21621,6140,1110053,718349,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),141879,,,,"Pension insurance | Status of women | none",40.41,1828402,60.71,39.29,yes,
192,Country,Switzerland,423,1995-06-25,Citizen's initiative "To expand the  state old age-  widows-  orphans- and  disability insurance",Eidgenössische Volksinitiative 'zum Ausbau von AHV und IV',Initiative populaire  "pour l'extension de l'AVS et de l'AI",Iniziativa popolare 'per il potenziamento dell'AVS e dell'AI',51,123,4,3,36,,None,4591795,59868,1852720,39614,6538,499266,1307302,,23,none,,,0,,0,Initiative (Formulated Draft),118264,,Schweizerischer GewerkschaftsbundUnion syndicale suisse,,"Pension insurance | Disability insurance | none",40.34,1806568,27.64,72.36,no,
193,Country,Switzerland,424,1995-06-25,Federal law on acquisition of real estate  by persons living abroad  amendment of  7 October 1994,Bundesgesetz über den Erwerb von Grundstücken durch Personen im Ausland  Aenderung vom 7. Oktober 1994,Loi fédérale sur l'acquisition d'immeubles par des personnes à l'étranger (LFAIE). Modification du 7 octobre 1994,Legge federale sull'acquisto di immobili da parte di persone all'estero. Modificazione del 7 ottobre 1994,149,19,8,39,0,,None,4591795,59868,1852627,48577,6675,834673,962702,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),56801,,,,"Land law | Immigration policy | Tourism",40.34,1797375,46.44,53.56,no,
194,Country,Switzerland,418,1995-03-12,Federal decree on the citizen's initiative "For an environmentally just and efficient agriculture" (counter proposal),Bundesbeschluss über die Volksinitiative 'für eine umweltgerechte und leistungsfähige bäuerliche Landwirtschaft' (Gegenentwurf),Arrêté fédéral concernant l'initiative populaire "pour une agriculture paysanne compétitive et respectueuse de l'environnement" (contre-projet),Decreto federale concernente l'iniziativa popolare 'per un'agricoltura contadina competitiva e rispettosa dell'ambiente' (Controprogetto),118,56,2,38,0,,None,4583856,55593,1738895,32030,4543,836215,866107,9,14,none,,,0,,0,Constitutional Referendum (Counter-draft),262435,,Schweizerischer BauernverbandUnion suisse des paysans,,"Agricultural policy | Environmental policy | none",37.93,1702322,49.12,50.88,no,
195,Country,Switzerland,419,1995-03-12,Milk production decree 1988  amendment of 18 March 1994,Milchwirtschaftsbeschluss 1988 (MWB 1988)  Aenderung vom 18. März 1994,Arrêté sur l'économie laitière 1988 (AEL 1988). Modification du 18 mars 1994,Decreto federale sull'economia lattiera. Modificazione del 18 marzo 1994,111,46,12,39,0,,None,4583856,55593,1738955,34956,4647,620918,1078434,,,none,,,0,,0,Optional Legislative Referendum (Federal Decrees),61951,,,,"Livestock | none | none",37.93,1699352,36.54,63.46,no,
196,Country,Switzerland,420,1995-03-12,Agriculture law  amendment of 8 October 1993,Landwirtschaftsgesetz  Aenderung vom 8. Oktober 1993,Loi fédérale sur l'agriculture. Modification du 8 octobre 1993,Legge federale sull'agricoltura. Modificazione dell'8 ottobre 1993,93,34,,36,4,,None,4583856,55593,1738353,37002,4680,569950,1126721,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),53349,,,,"Agricultural policy | none | none",37.91,1696671,33.59,66.41,no,
197,Country,Switzerland,421,1995-03-12,Federal decree on brake on expenditure,Bundesbeschluss über eine Ausgabenbremse,Arrêté fédéral instituant un frein aux dépenses du 7 octobre 1994,Decreto federale che istituisce un freno alle spese,109,53,16,27,6,,None,4583856,55593,1735266,61545,5665,1390831,277225,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Public expenditure | Legislative procedure | Parliament",37.86,1668056,83.38,16.62,yes,
198,Country,Switzerland,415,1994-12-04,Federal law on health insurance,Bundesgesetz über die Krankenversicherung (KVG),Loi fédérale sur l'assurance-maladie (LAMal) du 18 mars 1994,Legge federale sull'assicurazione malattie,124,38,14,35,1,,None,4602535,54042,2014475,37612,5328,1021175,950360,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),148958,,,,"Health and accident insurance | none | none",43.77,1971535,51.8,48.2,yes,
199,Country,Switzerland,416,1994-12-04,Citizen's initiative "For sound health  insurance",Eidgenössische Volksinitiative 'für eine gesunde Krankenversicherung',Initiative populaire  ''pour une saine assurance-maladie'',Iniziativa popolare 'per una sana assicurazione malattie',42,104,0,2,41,,None,4602535,54042,2014250,43849,5550,460674,1504177,,23,none,,,0,,0,Initiative (Formulated Draft),103575,,Sozialdemokratische Partei der SchweizParti socialiste suisse,,"Health and accident insurance | none | none",43.75,1964851,23.45,76.55,no,
200,Country,Switzerland,417,1994-12-04,Federal law on compulsory measures in  the law relating to foreigners,Bundesgesetz über Zwangsmassnahmen im Ausländerrecht,Loi fédérale sur les mesures de contrainte en matière de droit des étrangers du 18 mars 1994,Legge federale sulle misure coercitive in materia di diritto degli stranieri,111,51,13,37,2,,None,4602535,54042,2016575,42333,5905,1435040,533297,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),74768,,,,"Criminal law | Immigration policy | Refugees",43.81,1968337,72.91,27.09,yes,
201,Country,Switzerland,413,1994-09-25,Federal decree on ending subsidy for  domestic bread-making cereals,Bundesbeschluss über die Aufhebung der Verbilligung von inländischem Brotgetreide aus Zolleinnahmen,Arrêté fédéral supprimant la réduction du prix du blé indigène financée par les droits de douane du 18 mars 1994,Decreto federale che sopprime la riduzione del prezzo dei cereali panificabili finanziata con il prodotto dei dazi,161,0,12,38,0,,None,4576512,51649,2082706,82941,4689,1288697,706379,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Crop production | Budget cuts and remediation measures | none",45.5,1995076,64.59,35.41,yes,
202,Country,Switzerland,414,1994-09-25,Swiss penal code  military penal code   amendment of 18 June 1993,Schweizerisches Strafgesetzbuch Militärstrafgesetz  Aenderung vom 18. Juni 1993,Code pénal suisse. Code pénal militaire. Modification du 18 juin 1993,Codice penale svizzero e Codice penale militare. Modificazione del 18 giugno 1993,114,13,0,34,0,,None,4576512,51649,2100739,24910,3192,1132662,939975,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),54112,,,,"Immigration policy | Criminal law | International law",45.9,2072637,54.65,45.35,yes,
203,Country,Switzerland,410,1994-06-12,Federal decree on Art. 27 of the  Federal Constitution relating to promotion of culture,Bundesbeschluss über einen Kulturförderungsartikel in der Bundesverfassung (Art. 27septies BV),Arrêté fédéral concernant l'introduction dans la constitution fédérale d'un article sur l'encouragement de la culture (art. 27septies cst.) du 18 juin 1993,Decreto federale concernente un articolo costituzionale sulla promozione della cultura (art. 27septies Cost),87,27,,27,5,,None,4572713,50220,2131789,50640,3936,1059025,1018188,11,12,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Cultural policy | Division of tasks | none",46.61,2077213,50.98,49.02,no,
204,Country,Switzerland,411,1994-06-12,Federal decree on revision of the  naturalisation rules in the Federal  Constitution (making naturalisation  easier for young foreigners),Bundesbeschluss über die Revision der Bürgerrechtsregelung in der Bundesverfassung (Erleichterte Einbürgerung für junge Ausländer),Arrêté fédéral sur la révision du droit de la nationalité dans la constitution fédérale (Naturalisation facilitée pour les jeunes étrangers) du 17 décembre 1993,Decreto federale  concernente la revisione del disciplinamento della cittadinanza nella Costituzione federale (Naturalizzazione agevolata per i giovani stranieri),134,19,,37,0,,None,4572713,50220,2137944,25899,3430,1114158,994457,10,13,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Citizenship | Immigration policy | none",46.75,2108615,52.84,47.16,no,
205,Country,Switzerland,412,1994-06-12,Federal law on use of Swiss troops in  peace-keeping operations,Bundesgesetz über schweizerische Truppen für friedenserhaltende Operationen (BTFO),Loi fédérale concernant les troupes suisses chargées d'opération en faveur du maintien de la paix (LOMP) du 18 juin 1993,Legge federale concernente le truppe svizzere per operazioni di mantenimento della pace (caschi blue),127,23,,37,0,,None,4572713,50220,2138973,31998,3613,899626,1203736,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),89609,,,,"UN | International deployment | none",46.77,2103362,42.77,57.23,no,
206,Country,Switzerland,405,1994-02-20,Federal decree on continuation of the  motorway tax ,Bundesbeschluss über die Weiterführung der Nationalstrassenabgabe,Arrêté fédéral concernant la prorogation de la redevance pour l'utilisation des routes nationales du 18 juin 1993,Decreto federale concernente la proroga della tassa per l'utilizzazione delle strade nazionali,116,19,,30,0,,None,4563421,47695,1863398,21337,2575,1259609,579877,21,2,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Road transport | Indirect taxation | none",40.83,1839486,68.48,31.52,yes,
207,Country,Switzerland,406,1994-02-20,Federal decree on continuation of the  heavy goods vehicle tax,Bundesbeschluss über die Weiterführung der Schwerverkehrsabgabe,Arrêté fédéral concernant la prorogation de la redevance sur le trafic des poids lourds du 18 juin 1993,Decreto federale concernente la proroga della tassa sul traffico pesante,107,27,,31,0,,None,4563421,47695,1862531,26348,2719,1324242,509222,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Heavy traffic | Indirect taxation | Environmental policy",40.81,1833464,72.23,27.77,yes,
208,Country,Switzerland,407,1994-02-20,Federal decree on introduction of a  heavy goods vehicle tax based on engine  size or fuel consumption,Bundesbeschluss über die Einführung einer leistungs- oder verbrauchsabhängigen Schwerverkehrsabgabe,Arrêté fédéral concernant l'introduction d'une redevance sur le trafic de poids lourds liée  soit aux prestations  soit à la consommation du 18 juin 1993,Decreto federale concernente l'introduzione di una tassa sul traffico pesante commisurata alle prestazioni o al consumo,104,37,,32,0,,None,4563421,47695,1861208,38812,2855,1221630,597911,21,2,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Heavy traffic | Indirect taxation | Environmental policy",40.79,1819541,67.14,32.86,yes,
209,Country,Switzerland,408,1994-02-20,Citizen's initiative to protect the alpine regions from transit traffic,Eidgenössische Volksinitiative 'zum Schutze des Alpengebietes vor dem Transitverkehr',Initiative populaire ''pour la protection des régions alpines contre le trafic de transit'' ,Iniziativa popolare 'per la protezione della regione alpina dal traffico di transito',60,90,,2,23,,None,4563421,47695,1865111,23436,2822,954491,884362,16,7,none,,,0,,0,Initiative (Formulated Draft),107570,,,,"Transit traffic | Environmental policy | Air quality control",40.86,1838853,51.91,48.09,yes,
210,Country,Switzerland,409,1994-02-20,Federal air traffic law  amendment of  18 June 1993,Luftfahrtgesetz (LFG)  Aenderung vom 18. Juni 1993,Loi sur la navigation aérienne (LNA). Modification du 18 juin 1993,Legge federale sulla navigazione aerea. Modificazione del 18 giugno 1993,99,44,,33,4,,None,4563421,47695,1856045,80734,3752,1081844,689715,,,none,,,0,,0,Optional Legislative Referendum (Federal Statutes),51046,,,,"Air transport | none | none",40.66,1771559,61.07,38.93,yes,
211,Country,Switzerland,399,1993-11-28,Federal decree on organisation of federal  finances,Bundesbeschluss über die Finanzordnung,Arrêté fédéral sur le régime financier du 18 juin 1993,Decreto federale sul regime finanziario,98,30,,38,1,,None,4565751,45958,2073194,48433,3330,1347400,674031,22,1,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Financial system | Tax system | none",45.4,2021431,66.66,33.34,yes,
212,Country,Switzerland,400,1993-11-28,Federal decree on increased contribution  to federal revenue,Bundesbeschluss über einen Beitrag zur Gesundung der Bundesfinanzen,Arrêté fédéral concernant la contribution à l'assainissement des finances fédérales du 18 juin 1993,Decreto federale concernente il contributo al risanamento delle finanze federali,127,15,,35,3,,None,4565751,45958,2071952,52257,3369,1163887,852439,18,5,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Indirect taxation | Budget cuts and remediation measures | none",45.38,2016326,57.72,42.28,yes,
213,Country,Switzerland,401,1993-11-28,Federal decree on measures to preserve  social welfare insurance,Bundesbeschluss über Massnahmen zur Erhaltung der Sozialversicherung,Arrêté fédéral prévoyant des mesures garantissant le maintien de la sécurité sociale du 18 juin 1993,Decreto federale che prevede provvedimenti atti a garantire il mantenimento della sicurezza sociale,122,11,,36,0,,None,4565751,45958,2072283,57503,3526,1258782,752472,22,1,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Indirect taxation | Pension insurance | none",45.38,2011254,62.59,37.41,yes,
214,Country,Switzerland,402,1993-11-28,Federal decree on certain consumption  taxes ,Bundesbeschluss über besondere Verbrauchssteuern,Arrêté fédéraux sur les impôts de consommation spéciaux du 18 juin 1993,Decreto federale sulle imposte speciali di consumo,130,4,,39,0,,None,4565751,45958,2072208,70176,3634,1212002,786396,20,3,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Indirect taxation | none | none",45.38,1998398,60.65,39.35,yes,
215,Country,Switzerland,403,1993-11-28,Citizen's initiative to reduce the  problems caused by alcohol,Eidgenössische Volksinitiative 'zur Verminderung der Alkoholprobleme',Initiative populaire  ''pour la prévention des problèmes liés à l'alcool'' ,Iniziativa popolare 'per la diminuizione dei problemi dovuti all'alcool',48,86,,3,32,,None,4565751,45958,2076808,30516,3073,516054,1527165,,23,none,,,0,,0,Initiative (Formulated Draft),110648,,Schweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTASchweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTA,,"Addictive substances | Children and young people | none",45.49,2043219,25.26,74.74,no,
216,Country,Switzerland,404,1993-11-28,Citizen's initiative to reduce the  problems caused by tobacco,Eidgenössische Volksinitiative 'zur Verminderung der Tabakprobleme',Initiative populaire  ''pour la prévention des problèmes liés au tabac'' ,Iniziativa popolare 'per la diminuzione dei problemi dovuti al consumo di tabacco',49,90,,3,30,,None,4565751,45958,2077305,30999,2988,521433,1521885,,23,none,,,0,,0,Initiative (Formulated Draft),115210,,Schweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTASchweizerischer Verein zur Verminderung der Tabak- und Alkoholprobleme SVTA,,"Addictive substances | Children and young people | none",45.5,2043318,25.52,74.48,no,
217,Country,Switzerland,394,1993-09-26,Federal decree against the misuse of  weapons,Bundesbeschluss gegen den Waffenmissbrauch,Arrêté fédéral contre l'usage abusif d'armes du 19 mars 1993,Decreto federale contro gli abusi in materia di armi,107,3,,42,0,,None,4553754,44194,1814663,27262,2593,1539782,245026,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Criminal law | Intergovernmental relations | none",39.84,1784808,86.27,13.73,yes,
218,Country,Switzerland,395,1993-09-26,Federal decree on the transfer of the  district of Laufen from canton Bern  to canton Basel Country,Bundesbeschluss über den Anschluss des bernischen Amtsbezirks Laufen an den Kanton Basel-Landschaft,Arrêté fédéral sur le rattachement du district bernois de Laufon au canton de Bâle-Campagne,Decreto federale sull'annessione del distretto bernese di Laufen al Cantone di Basilea Campagna,112,27,,30,2,,None,4553754,44194,1798547,209883,6830,1188941,392893,23,,none,,,0,,0,Constitutional Referendum (Partialrevision),0,,,,"Territoral questions | none | none",39.5,1581834,75.16,24.84,yes,
