"Sl No","Number of Vote","Date of Votes","Title in English","Title in French","Result","Def. Result","keyword1","keyword2","keyword3","type","Institutions","Theme codes","Turnout","Valid Ballot Sheets","Yes [%]","No [%]","Number of Yes-Votes in National Council","Number of No-Votes in National Council","Number of Abstentions in National Council","Number of Yes-Votes in States Council","Number of No-Votes in States Council","Number of Abstentions in States Council","Recommendation of Government","Total Electorate","Number Of Voters","Yes Votes","No Votes","Number of States accepting","Number of States rejecting","Linked Vote Status","Linked Vote","Without Response","Tie-Break Question: Number of People Supporting","Tie-Break Question: Number of State Supporting","Tie-Break Question: Without Response"
95,517,2005-06-05,"Federal decree of 17 December 2004 on  the approval and implementation of  the bilateral agreements between  Switzerland and the EU on the  Schengen and Dublin accords","Arrêté fédéral du 17.12.2004 portant approbation et mise en oeuvre des accords bilatéraux d'association à l'Espace Schengen et à l'Espace Dublin","yes",NA,"EU","Police","Refugees","facultative Referendum","Optional Treaty Referendum (Treaties containing important law setting norms or whose implemention requires federal Statutes)","EU | Police | Refugees","56.63",2704302,54.63,"45.37","129","60","3","36","3","2","Acceptance",4837844,2739694,1477260,1227042,NA,NA,"none",NA,NA,NA,NA,NA
96,518,2005-06-05,"Federal law of 18 June 2004 on the registration of partnerships of same-sex couples (Partnership law)","Loi fédérale du 18.06.2004 sur le partenariat enregistré entre personnes du même sexe (loi sur le partenariat  Lpart)","yes",NA,"Private law","Homosexuals","Fundamental rights","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Private law | Homosexuals | Fundamental rights","56.51",2687368,58.04,"41.96","112","51","16","33","5","4","Acceptance",4837844,2733838,1559848,1127520,NA,NA,"none",NA,NA,0,NA,0
97,514,2004-11-28,"Federal decree of 3 October 2003 on  revision of financial compensation and  distribution of charges between the  Confederation and the cantons","Arrêté fédéral du 03.10.2003 concernant la réforme de la péréquation financière et de la répartition des tâches entre la Confédération et les cantons (RPT)","yes",NA,"Intergovernmental relations","Financial system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Intergovernmental relations | Financial system | none","36.85",1715896,64.37,"35.63","126","54","11","38","2",NA,"Acceptance",4821329,1776714,1104565,611331,"20.5","2.5","none",NA,NA,0,NA,0
98,516,2004-11-28,"Federal law of 19 December 2003 on research on embryonic stem cells","Loi fédérale du 19.12.2003 relative à la recherche sur les cellules souches embryonnaires (Loi relative à la recherche sur les cellules souches  LRCS)","yes",NA,"Research","Reproductive medicine","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Research | Reproductive medicine | none","37.02",1742236,66.39,"33.61","103","57","25","35","1",NA,"Acceptance",4821329,1785215,1156706,585530,NA,NA,"none",NA,NA,0,NA,0
99,515,2004-11-28,"Federal decree of 19 March 2004 on the new organisation of Federal finances","Arrêté fédéral du 19.03.2004 sur un nouveau régime financier","yes",NA,"Financial system","Tax system","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Financial system | Tax system | none","36.83",1705557,73.81,"26.19","191","0","0","43","0",NA,"Acceptance",4821329,1775770,1258895,446662,"22","1","none",NA,NA,0,NA,0
100,510,2004-09-26,"Federal decree of 3 October 2003 on  the proper conduct of naturalisation  and easier naturalisation for young   second-generation foreigners","Arrêté fédéral du 03.10.2003 sur la naturalisation ordinaire et sur la naturalisation facilitée des jeunes étrangers de la deuxième génération","no",NA,"Citizenship","Immigration policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Citizenship | Immigration policy | none","53.82",2558982,43.24,"56.76","140","41","3","40","0",NA,"Acceptance",4814898,2591426,1106529,1452453,"5.5","17.5","none",NA,NA,NA,NA,NA
101,511,2004-09-26,"Federal decree of 3 October 2003 on  acquisition of citizenship rights by third-generation foreigners","Arrêté fédéral du 03.10.2003 sur l'acquisition de la nationalité par les étrangers de la troisième génération","no",NA,"Citizenship","Immigration policy","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Citizenship | Immigration policy | none","53.83",2561499,48.37,"51.63","149","40","1","38","0",NA,"Acceptance",4814898,2591968,1238912,1322587,"6.5","16.5","none",NA,NA,0,NA,0
102,512,2004-09-26,"Citizen's initiative ""Postal services for all""","Initiative populaire du 26.04.2002 'Services postaux pour tous'","no",NA,"Post","none","none","initiative","Initiative (Formulated Draft)","Post | none | none","53.53",2506885,49.77,"50.23","84","105","5","12","31",NA,"Rejection",4814898,2577679,1247771,1259114,"9.5","13.5","none",NA,NA,0,NA,0
103,513,2004-09-26,"Amendment of 3 October 2003 to  federal law on financial compensation  for loss of earnings for those serving  in the armed forces or performing the  community service alternative  or in civil protection","Modification du 03.10.2003 de la loi fédérale sur le régime des allocations pour perte de gain en faveur des personnes servant dans l'armée  dans le service civil ou dans la protection civile (Loi sur les allocations pour perte de gain  LAPG)","yes",NA,"Maternity insurance","Status of women","Compensation for loss of earnings for persons on military service or civil protection duty","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Maternity insurance | Status of women | Compensation for loss of earnings for persons on military service or civil protection duty","53.8",2555739,55.45,"44.55","146","41","3","31","6",NA,"Acceptance",4814898,2590724,1417159,1138580,NA,NA,"none",NA,NA,0,NA,0
104,507,2004-05-16,"Amendment of 3 October 2003 to the Federal law on old age-  widows- and  orphans insurance (11th revision)","Modification du 03.10.2003 de la loi fédérale sur l'assurance-vieillesse et survivants (LAVS) (11e révision de l'AVS)","no",NA,"Pension insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Pension insurance | none | none","50.82",2407345,32.1,"67.9","109","73","7","34","9",NA,"Acceptance",4798073,2438405,772773,1634572,NA,NA,"none",NA,NA,0,NA,0
105,508,2004-05-16,"Federal decree of 3 October 2003 on  financing old age-  widows-  orphans-  and disability insurance by raising the level of VAT","Arrêté fédéral du 03.10.2004 sur le financement de l'AVS/AI par le biais d'un relèvement de la taxe sur la valeur ajoutée","no",NA,"Pension insurance","Indirect taxation","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Pension insurance | Indirect taxation | none","50.83",2407897,31.42,"68.58","130","43","16","35","2",NA,"Acceptance",4798073,2439301,756550,1651347,NA,"23","none",NA,NA,0,NA,0
106,509,2004-05-16,"Federal law of 20 June 2003 on  amendments to regulations affecting  taxation for married couples and families  private housing and stamp duty","Loi fédérale du 20.06.2003 sur la modification d'actes concernant l'imposition du couple et de la famille  l'imposition du logement et les droits de timbre","no",NA,"Tax policy","Family policy","Building of residential housing, property ownership","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Tax policy | Family policy | Building of residential housing, property ownership","50.84",2407385,34.12,"65.88","97","69","0","30","13","2","Acceptance",4798073,2439677,821475,1585910,NA,NA,"none",NA,NA,0,NA,0
107,504,2004-02-08,"Counter-proposal by Federal Assembly  of 3 October 2003 to withdrawn the citizen's  initiative ""Avanti - for safe  efficient  motorways""","Contre-projet de l'Assemblée fédérale du 03.10.2003 relatif à l'initiative populaire ""Avanti - pour des autoroutes sûres et performantes"" (qui a été retirée)","no",NA,"Urban transport","Road construction","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Urban transport | Road construction | none","45.58",2152132,37.2,"62.8","101","85","4","34","8",NA,"Acceptance",4789871,2183037,800632,1351500,NA,"23","none",NA,NA,NA,NA,NA
108,505,2004-02-08,"Amendment of 13 December 2002 to  the law on obligations (rents)","Modification du 13.12.2002 du code des obligations (Bail à loyer)","no",NA,"Tenancy issues","Private law","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Tenancy issues | Private law | none","45.42",2103019,35.93,"64.07","98","71","7","36","5",NA,"Acceptance",4789871,2175425,755561,1347458,NA,NA,"none",NA,NA,0,NA,0
109,506,2004-02-08,"Citizen's initiative ""Lifelong detention for perpetrators of sexual or violent crimes who are judged to be highly dangerous and unable to be rehabilitated""","Initiative populaire du 03.05.2000 ""Internement à vie pour les délinquants sexuels ou violents jugés très dangereux et non amendables""","yes",NA,"Criminal law","Public security","none","initiative","Initiative (Formulated Draft)","Criminal law | Public security | none","45.53",2133436,56.19,"43.81","38","134","0","0","45",NA,"Rejection",4789871,2180863,1198867,934569,"21.5","1.5","none",NA,NA,0,NA,0
110,495,2003-05-18,"Amendment to Federal law on army and military administration","Loi fédérale sur l'armée et l'administration militaire (Loi sur l'armée  LAAM)  Modification","yes",NA,"Military organisation","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Military organisation | none | none","49.56",2260029,76.04,"23.96","112","37","30","41","0",NA,"Acceptance",4764888,2361382,1718452,541577,NA,NA,"none",NA,NA,NA,NA,NA
111,496,2003-05-18,"Federal law on civil defence","Loi fédérale sur la protection de la population et sur la protection civile (LPPCi)","yes",NA,"Civil protection","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Civil protection | none | none","49.51",2270837,80.56,"19.44","156","1","26","44","0",NA,"Acceptance",4764888,2358877,1829339,441498,NA,NA,"none",NA,NA,NA,NA,NA
112,497,2003-05-18,"Citizen's initiative ""Yes to fair rents for tenants""","Initiative populaire 'pour des loyers loyaux'","no",NA,"Tenancy issues","none","none","initiative","Initiative (Formulated Draft)","Tenancy issues | none | none","49.58",2289789,32.73,"67.27","60","102","8","4","35",NA,"Rejection",4764888,2362517,749388,1540401,"1","22","none",NA,NA,NA,NA,NA
113,498,2003-05-18,"Citizen's initiative ""For one car-free  Sunday per season - a four-year trial  (Sunday initiative)""","Initiative populaire 'Pour un dimanche sans voitures par saison - un essai limité à quatre ans (Initiative des dimanches)'","no",NA,"Road transport","none","none","initiative","Initiative (Formulated Draft)","Road transport | none | none","49.81",2342747,37.65,"62.35","70","96","8","8","34",NA,"Rejection",4764888,2373187,881953,1460794,NA,"23","none",NA,NA,NA,NA,NA
114,499,2003-05-18,"Citizen's initiative ""Healthcare must be  affordable (health initiative)""","Initiative populaire 'La santé à un prix abordable (initiative-santé)'","no",NA,"Health and accident insurance","none","none","initiative","Initiative (Formulated Draft)","Health and accident insurance | none | none","49.68",2307767,27.09,"72.91","60","84","7","5","35",NA,"Rejection",4764888,2367157,625073,1682694,NA,"23","none",NA,NA,NA,NA,NA
115,500,2003-05-18,"Citizen's initiative ""Equal rights for the disabled""","Initiative populaire 'Droits égaux pour les personnes handicapées'","no",NA,"Persons with disabilities","Fundamental rights","none","initiative","Initiative (Formulated Draft)","Persons with disabilities | Fundamental rights | none","49.69",2310142,37.67,"62.33","70","107","2","6","37",NA,"Rejection",4764888,2367883,870249,1439893,"3","20","none",NA,NA,NA,NA,NA
116,501,2003-05-18,"Citizen's initiative ""Non-nuclear energy  - for a change in energy policy and the  gradual decommissioning of nuclear  power plants""","Initiative populaire 'Sortir du nucléaire - Pour un tournant dans le domaine de l'énergie et pour la désaffectation progressive des centrales nucléaires (Sortir du nucléaire)'","no",NA,"Nuclear energy","Environmental policy","none","initiative","Initiative (Formulated Draft)","Nuclear energy | Environmental policy | none","49.72",2324152,33.71,"66.29","63","108","6","5","36",NA,"Rejection",4764888,2369102,783586,1540566,"0.5","22.5","none",NA,NA,NA,NA,NA
117,502,2003-05-18,"Citizen's initiative ""Moratorium Plus  - for an extension to the moratorium  on nuclear power plant construction  and a limitation to the nuclear risk""","Initiative populaire 'Moratoire-plus - Pour la prolongation du moratoire dans la construction de centrales nucléaires et la limitation du risque nucléaire (Moratoire-plus)'","no",NA,"Nuclear energy","Environmental policy","none","initiative","Initiative (Formulated Draft)","Nuclear energy | Environmental policy | none","49.59",2297297,41.6,"58.4","67","109","2","6","35",NA,"Rejection",4764888,2363075,955624,1341673,"1","22","none",NA,NA,NA,NA,NA
118,503,2003-05-18,"Citizen's initiative ""For adequate  vocational training (apprenticeship  initiative)""","Initiative populaire  'Pour une offre appropriée en matière de formation professionnelle (Initiative pour des places d'apprentissage)'","no",NA,"Professional and vocational education","Children and young people","Employment policy","initiative","Initiative (Formulated Draft)","Professional and vocational education | Children and young people | Employment policy","49.56",2287256,31.61,"68.39","58","124","1","6","35",NA,"Rejection",4764888,2361583,722931,1564325,NA,"23","none",NA,NA,NA,NA,NA
119,493,2003-02-09,"Federal decree on amendment to  citizens' rights","Arrêté fédéral relatif à la révision des droits populaires","yes",NA,"Citizen's initiatives","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Citizen's initiatives | none | none","28.7",1327643,70.35,"29.65","102","67","16","32","7",NA,"Acceptance",4758285,1365517,934005,393638,"23","0","none",NA,NA,NA,NA,NA
120,494,2003-02-09,"Federal law on adjusting canton's  contributions to hospital costs","Loi fédérale sur l'adaptation des participations cantonales aux coûts des traitements hospitaliers dispensés dans le canton selon la loi fédérale sur l'assurance-maladie","yes",NA,"Health and accident insurance","none","none","facultative Referendum","Optional Legislative Referendum (Federal acts declared urgent)","Health and accident insurance | none | none","28.69",1329801,77.36,"22.64","189","0","0","40","0",NA,"Acceptance",4758285,1365354,1028673,301128,NA,NA,"none",NA,NA,NA,NA,NA
121,491,2002-11-24,"Citizen's initiative ""Against the abuse of asylum law""","Initiative populaire ""contre les abus dans le droit d'asile""","no",NA,"Unemployment insurance","none","none","initiative","Initiative (Formulated Draft)","Unemployment insurance | none | none","47.93",2242892,49.91,"50.09","44","137","4","3","36",NA,"Rejection",4749962,2276596,1119342,1123550,"12.5","10.5","none",NA,NA,NA,NA,NA
122,492,2002-11-24,"Amendment to Federal law on  compulsory unemployment insurance  and compensation for insolvency","Modification de la loi fédérale sur l'assurance-chômage obligatoire et l'indemnité en cas d'insolvabilité (Loi surl'assurance-chômage  LACI)","yes",NA,"Refugees","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Refugees | none | none","47.62",2201249,56.09,"43.91","114","58","15","36","5",NA,"Acceptance",4749962,2262130,1234623,966626,NA,NA,"none",NA,NA,NA,NA,NA
123,489,2002-09-22,"Counter-proposal (Gold for pension  funds  cantons and foundations)","Contre projet l'or à l'AVS  aux cantons et à la Fondation","no",NA,"Monetary policy","Pension insurance","none","mandatory Referendum","Constitutional Referendum (Counter-draft)","Monetary policy | Pension insurance | none","45.17",2122367,48.22,"51.78","141","41","3","33","5",NA,"Acceptance",4743888,2143027,984537,1057398,"6.5","16.5","linked","Citizen's initiative ""Surplus gold reserves for the old age-  widows- and orphans insurance fund (gold initiative)""",80432,1020309,"15",148742
124,489,2002-09-22,"Citizen's initiative ""Surplus gold reserves for the old age-  widows- and orphans insurance fund (gold initiative)""","L'initiative populaire ""pour le versement au fonds AVS des réserves d'or excédentaires de la Banque nationale suisse (Initiative sur l'or)"" et le contre-projet ""L'or à l'AVS  aux cantons et à la Fondation""","no",NA,"Monetary policy","Pension insurance","Intergovernmental relations","initiative","Initiative (Formulated Draft)","Monetary policy | Pension insurance | Intergovernmental relations","45.17",2122367,47.56,"52.44","41","141","0","5","33","3","Rejection",4743888,2143027,984058,1085072,"6","17","linked","Counter-proposal (Gold for pension  funds  cantons and foundations)",53237,953316,"8",148742
125,490,2002-09-22,"Federal law on the electricity sector","Loi sur le marché de l'électricité (LME)","no",NA,"Energy policy","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Energy policy | none | none","44.8",2051182,47.42,"52.58","160","24","8","36","2",NA,"Acceptance",4743888,2125214,972770,1078412,NA,NA,"none",NA,NA,NA,NA,NA
126,487,2002-06-02,"Amendment to Swiss criminal code  (abortion)","Modification du code pénal suisse (Interruption de grossesse)","yes",NA,"Criminal law","Status of women","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Criminal law | Status of women | none","41.81",1939650,72.15,"27.85","107","69","9","22","20",NA,"Acceptance",4731017,1978123,1399545,540105,NA,NA,"none",NA,NA,NA,NA,NA
127,488,2002-06-02,"Citizen's initiative ""For mother and child - protection of the unborn child and assistance for mothers in need""","Initiative populaire ""pour la mère et l'enfant""","no",NA,"Criminal law","Fundamental rights","Status of women","initiative","Initiative (Formulated Draft)","Criminal law | Fundamental rights | Status of women","41.69",1931302,18.25,"81.75","8","156","14","0","39",NA,"Rejection",4731017,1972596,352432,1578870,NA,"23","none",NA,NA,NA,NA,NA
128,485,2002-03-03,"Citizen's initiative ""For Switzerland's  membership to the UN""","Initiative populaire fédérale 'pour l'adhésion de la Suisse à l'Organisation des Nations Unies (ONU)'","yes",NA,"UN","none","none","initiative","Initiative (Formulated Draft)","UN | none | none","58.44",2726739,54.61,"45.39","147","39","0","37","3",NA,"Acceptance",4721320,2758925,1489110,1237629,"12","11","none",NA,NA,NA,NA,NA
129,486,2002-03-03,"Citizen's initiative ""For a shorter  working week""","Initiative populaire fédérale 'pour une durée du travail réduite'","no",NA,"Working hours","none","none","initiative","Initiative (Formulated Draft)","Working hours | none | none","58.26",2708133,25.37,"74.63","54","125","13","5","37",NA,"Rejection",4721320,2750779,686935,2021198,NA,"23","none",NA,NA,NA,NA,NA
130,480,2001-12-02,"Federal decree on reducing debt","Arrêté fédéral concernant un frein à l'endettement","yes",NA,"Public expenditure","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Public expenditure | none | none","37.82",1737349,84.74,"15.26","127","64","1","34","6",NA,"Acceptance",4712223,1782381,1472259,265090,"23","0","none",NA,NA,NA,NA,NA
131,481,2001-12-02,"Citizen's initiative ""For a guaranteed old age-  widows- and orphans insurance  - impose a tax on energy  not work!""","Initiative populaire 'pour garantir l'AVS - taxer l'énergie et non le travail!'","no",NA,"Energy policy","Indirect taxation","Pension insurance","initiative","Initiative (Formulated Draft)","Energy policy | Indirect taxation | Pension insurance","37.85",1739748,22.86,"77.14","65","119","5","0","36",NA,"Rejection",4712223,1783507,397747,1342001,NA,"23","none",NA,NA,NA,NA,NA
132,482,2001-12-02,"Citizen's initiative ""For a credible  security policy and a Switzerland  without an army""","Initiative populaire 'pour une politique de sécurité crédible et une Suisse sans armée'","no",NA,"Abolition of the armed forces","none","none","initiative","Initiative (Formulated Draft)","Abolition of the armed forces | none | none","37.93",1757325,21.9,"78.1","44","137","11","0","41",NA,"Rejection",4712223,1787298,384905,1372420,NA,"23","none",NA,NA,NA,NA,NA
133,483,2001-12-02,"Citizen's initiative ""Solidarity creates  security: for a voluntary civilian peace service (CPS)""","Initiative populaire 'La solidarité crée la sécurité: pour un service civil volontaire pour la paix (SCP)'","no",NA,"Conscientious objection, Civilian service","none","none","initiative","Initiative (Formulated Draft)","Conscientious objection, Civilian service | none | none","37.86",1744091,23.21,"76.79","68","120",NA,"5","36",NA,"Rejection",4712223,1783860,404870,1339221,NA,"23","none",NA,NA,NA,NA,NA
134,484,2001-12-02,"Citizen's initiative ""For a capital gains  tax""","Initiative populaire 'pour un impôt sur les gains en capital'","no",NA,"Direct taxation","none","none","initiative","Initiative (Formulated Draft)","Direct taxation | none | none","37.85",1744109,34.11,"65.89","65","120","8","6","35",NA,"Rejection",4712223,1783571,594927,1149182,NA,"23","none",NA,NA,NA,NA,NA
135,477,2001-06-10,"Amendment of 6 October 2000 to Federal law on army and military  authorities (weapons)","Modification du 06.10.2000 de la loi fédérale sur l'armée et l'administration  militaire (LAAM) (Armement)","yes",NA,"Armed forces - general","International deployment","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Armed forces - general | International deployment | none","42.52",1965607,50.99,"49.01","109","59","15","38","2",NA,"Acceptance",4698248,1997663,1002271,963336,NA,NA,"none",NA,NA,NA,NA,NA
136,478,2001-06-10,"Amendment of 6 October 2000  to Federal law on army and military  authorities (training)","Modification du 06.10.2000 de la loi fédérale sur l'armée et l'administration  militaire (LAAM) (Coopération en matière d'instruction)","yes",NA,"Military training","International deployment","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Military training | International deployment | none","42.5",1957796,51.14,"48.86","126","46","9","38","0",NA,"Acceptance",4698248,1996725,1001300,956496,NA,NA,"none",NA,NA,NA,NA,NA
137,479,2001-06-10,"Federal decree of 15 December 2000 on withdrawal of the duty to have permission to create new bishoprics","Arrêté fédéral du 15 décembre 2000 portant abrogation de la disposition constitutionnelle soumettant l'érection des évêchés à l'approbation de la Confédération","yes",NA,"Religion - churches","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Religion - churches | none | none","42.05",1860664,64.2,"35.8","170","17","4","38","0",NA,"Acceptance",4698248,1975658,1194556,666108,"23","0","none",NA,NA,NA,NA,NA
138,474,2001-03-04,"Citizen's initiative ""Yes to Europe""","Initiative populaire fédérale 'Oui à l'Europe!'","no",NA,"EU","none","none","initiative","Initiative (Formulated Draft)","EU | none | none","55.8",2579766,23.15,"76.85","69","94","10","6","33",NA,"Rejection",4688585,2616119,597217,1982549,NA,"23","none",NA,NA,NA,NA,NA
139,475,2001-03-04,"Citizen's initiative ""For lower-priced medicines""","Initiative populaire fédérale 'pour des médicaments à moindre prix'","no",NA,"Medicines","none","none","initiative","Initiative (Formulated Draft)","Medicines | none | none","55.71",2565718,30.85,"69.15","0","76","38","0","36",NA,"Rejection",4688585,2612008,791589,1774129,NA,"23","none",NA,NA,NA,NA,NA
140,476,2001-03-04,"Citizen's initiative ""For greater traffic  safety based on a speed limit of 30 kph  in built-up areas  with exceptions (roads  for everyone)""","Initiative populaire fédérale 'pour plus de sécurité à l'intérieur des localités grâce à une vitesse maximale de 30 km/h assortie d'exceptions (Rues pour tous)'","no",NA,"Road transport","Environmental policy","none","initiative","Initiative (Formulated Draft)","Road transport | Environmental policy | none","55.8",2588923,20.3,"79.7","68","118","Not known","7","34","Not known","Rejection",4688585,2616139,525609,2063314,NA,"23","none",NA,NA,NA,NA,NA
141,469,2000-11-26,"Citizen's initiative ""For a more flexible  old age-  widows- and orphans insurance  - against raising the retirement age for  women""","Initiative populaire 'pour un assouplissement de l'AVS - contre le relèvement de l'âge de la retraite des femmes'","no",NA,"Pension insurance","Status of women","none","initiative","Initiative (Formulated Draft)","Pension insurance | Status of women | none","41.66",1916131,39.47,"60.53","67","110","3","5","39",NA,"Rejection",4680971,1950308,756337,1159794,"6","17","none",NA,NA,NA,NA,NA
142,470,2000-11-26,"Citizen's initiative ""For a flexible  retirement age for men and women from 62 upwards""","Initiative populaire 'pour une retraite à la carte dès 62 ans  tant pour les femmes que pour les hommes'","no",NA,"Pension insurance","Status of women","none","initiative","Initiative (Formulated Draft)","Pension insurance | Status of women | none","41.72",1924757,46.02,"53.98","65","107","8","5","39",NA,"Rejection",4680971,1952766,885772,1038985,"7","16","none",NA,NA,NA,NA,NA
143,471,2000-11-26,"Citizen's initiative ""Saving on army and  defence spending - for more peace and  forward-looking jobs (redistribution  initiative)""","Initiative populaire 'Economiser dans l'armée et la défense générale - pour davantage de paix et d'emplois d'avenir (Initiative en faveur d'une redistribution des dépenses)'","no",NA,"Armed forces - general","none","none","initiative","Initiative (Formulated Draft)","Armed forces - general | none | none","41.72",1921970,37.62,"62.38","62","122","1","6","36",NA,"Rejection",4680971,1952765,723047,1198923,"4","19","none",NA,NA,NA,NA,NA
144,472,2000-11-26,"Citizen's initiative ""For lower hospital  costs""","Initiative populaire 'pour des coûts hospitaliers moins élevés'","no",NA,"Health policy","Health and accident insurance","none","initiative","Initiative (Formulated Draft)","Health policy | Health and accident insurance | none","41.66",1917536,17.89,"82.11","1","182","Not known","0","42",NA,"Rejection",4680971,1950182,343008,1574528,NA,"23","none",NA,NA,NA,NA,NA
145,473,2000-11-26,"Law regarding Federal employees","Loi sur le personnel de la Confédération (LPers)","yes",NA,"Government, administration","none","none","facultative Referendum","Optional Legislative Referendum (Federal Statutes)","Government, administration | none | none","41.53",1876376,66.83,"33.17","112","51","Not known","36","5","Not known","Acceptance",4680971,1944222,1253995,622381,NA,NA,"none",NA,NA,NA,NA,NA
146,465,2000-09-24,"Citizen's initiative ""For 'solarrappen'  (solar initiative)""","Initiative populaire 'pour l'introduction d'un centime solaire (Initiative solaire)' et contre-projet (Article constitutionnel sur une redevance pour l'encouragement des énergies renouvelables)","no",NA,"Alternative energy","Indirect taxation","Environmental policy","initiative","Initiative (Formulated Draft)","Alternative energy | Indirect taxation | Environmental policy","44.7",2037256,31.82,"68.18","63","125",NA,"10","30",NA,"Rejection",4676509,2090548,636848,1364751,NA,"23","linked","Counter-proposal (article in the Constitution on a levy to promote  renewable energy)",35657,570401,NA,386911
147,466,2000-09-24,"Article in the Constitution on an environmental energy tax (counter- proposal to the withdrawn ""energy  environment initiative"")","Article constitutionnel sur une redevance incitative sur l'énergie en faveur de l'environnement (contre-projet à l'initiative 'énergie et environnement'  qui a été retirée)","no",NA,"Energy policy","Indirect taxation","Environmental policy","mandatory Referendum","Constitutional Referendum (Counter-draft)","Energy policy | Indirect taxation | Environmental policy","44.89",2017747,44.51,"55.49","124","59","Not known","41","3","Not known","Acceptance",4676509,2099325,898050,1119697,"2.5","20.5","none",NA,NA,NA,NA,NA
148,465,2000-09-24,"Counter-proposal (article in the Constitution on a levy to promote  renewable energy)","Contre-projet (Article constitutionnel sur une redevance pour l'encouragement des énergies renouvelables)","no",NA,"Alternative energy","Indirect taxation","Environmental policy","mandatory Referendum","Constitutional Referendum (Counter-draft)","Alternative energy | Indirect taxation | Environmental policy","44.7",2037256,46.63,"53.37","125","63",NA,"30","10",NA,"Acceptance",4676509,2090548,922481,1055977,"4.5","18.5","linked","Citizen's initiative ""For 'solarrappen'  (solar initiative)""",58798,1079944,"23",386911
149,467,2000-09-24,"Citizen's initiative ""For the regulation of immigration""","Initiative populaire ""pour une réglementation de l'immigration""","no",NA,"Immigration policy","none","none","initiative","Initiative (Formulated Draft)","Immigration policy | none | none","45.27",2084850,36.2,"63.8","14","146","6","0","41",NA,"Rejection",4676509,2117053,754626,1330224,NA,"23","none",NA,NA,NA,NA,NA
150,468,2000-09-24,"Citizen's initiative ""Increased citizens  rights through referendums with  counter-proposals (constructive  referendum)""","Initiative populaire ""pour davantage de droits au peuple grâce au référendum avec contre-proposition (Référendum constructif)""","no",NA,"Referendum","none","none","initiative","Initiative (Formulated Draft)","Referendum | none | none","44.81",1984806,34.1,"65.9","67","112","5","6","36",NA,"Rejection",4676509,2095513,676776,1308030,NA,"23","none",NA,NA,NA,NA,NA
151,464,2000-05-21,"Federal decree on approval of sectoral  agreements between Switzerland and  the EC and/or its member states  or  Euratom","Arrêté fédéral portant approbation des accords sectoriels entre  d'une part  la Confédération suisse et  d'autre part  la Communauté européenne ainsi que  le cas échéant  ses Etats membres ou la Communauté européenne de l'énergie atomique","yes",NA,"EU","none","none","facultative Referendum","Optional Treaty Referendum (Multilateral unification of law)","EU | none | none","48.31",2228073,67.19,"32.81","183","11","1","45","0",NA,"Acceptance",4664565,2253284,1497093,730980,NA,NA,"none",NA,NA,NA,NA,NA
152,459,2000-03-12,"Federal decree on reform of the judiciary","Arrêté fédéral relatif à la réforme de la justice","yes",NA,"Courts","none","none","mandatory Referendum","Constitutional Referendum (Partialrevision)","Courts | none | none","41.92",1864462,86.36,"13.64","165","80","10","37","0",NA,"Acceptance",4659113,1953228,1610107,254355,"23","0","none",NA,NA,NA,NA,NA
153,460,2000-03-12,"Citizen's initiative ""For speeding up  direct democracy (processing times  for citizen's initiatives in the form of a specific draft)""","Initiative populaire fédérale 'pour une démocratie directe plus rapide (Délai de traitement des initiatives populaires présentées sous forme de projet rédigé de toutes pièces)'","no",NA,"Citizen's initiatives","Procedure for constitutional reform","none","initiative","Initiative (Formulated Draft)","Citizen's initiatives | Procedure for constitutional reform | none","42.1",1909954,30,"70","29","161","3","0","42",NA,"Rejection",4659113,1961705,573038,1336916,NA,"23","none",NA,NA,NA,NA,NA
154,461,2000-03-12,"Citizen's initiative ""For a fair  representation of women in the Federal  authorities (initiative of 3 March)""","Initiative populaire fédérale 'pour une représentation équitable des femmes dans les autorités fédérales (Initiative du 3 mars)'","no",NA,"Status of women","Institutions","Electoral system","initiative","Initiative (Formulated Draft)","Status of women | Institutions | Electoral system","42.19",1927173,17.97,"82.03","48","112","17","4","36",NA,"Rejection",4659113,1965541,346314,1580859,NA,"23","none",NA,NA,NA,NA,NA
